iter	Logloss
0	0.5950876827
1	0.5356501202
2	0.4914407928
3	0.4593427513
4	0.4324745942
5	0.4123101076
6	0.3936508322
7	0.378097949
8	0.3679113389
9	0.3519081727
10	0.3429990596
11	0.3346310427
12	0.3255768649
13	0.3182915601
14	0.3071338858
15	0.3005392186
16	0.2951500908
17	0.2878206068
18	0.2798510575
19	0.2760497643
20	0.266965053
21	0.2615262339
22	0.2569230088
23	0.2529394063
24	0.2490818814
25	0.2449234761
26	0.2421314921
27	0.2380516094
28	0.2352549432
29	0.2317470256
30	0.2288381436
31	0.2267351227
32	0.2234962506
33	0.2201604486
34	0.2181217827
35	0.2145462415
36	0.211935598
37	0.2091100461
38	0.2073936356
39	0.2052885869
40	0.2032239619
41	0.201082689
42	0.1993846157
43	0.1975682631
44	0.1956407163
45	0.1938725134
46	0.1923847509
47	0.1906086516
48	0.1891557214
49	0.1879185622
50	0.1865979564
51	0.1854108582
52	0.1841905309
53	0.182457283
54	0.1808346522
55	0.1796178756
56	0.1779438441
57	0.1761796179
58	0.1751259106
59	0.1736669425
60	0.1725963552
61	0.1710909275
62	0.1697980809
63	0.1687289484
64	0.1678422239
65	0.1670652798
66	0.1658252764
67	0.1650287877
68	0.1638763602
69	0.1631911882
70	0.1620154709
71	0.1610628131
72	0.1604445022
73	0.1596709058
74	0.1581196104
75	0.1572410825
76	0.1563478879
77	0.1557711912
78	0.1547753858
79	0.1537557177
80	0.1530979405
81	0.1523642449
82	0.1516361698
83	0.1507547288
84	0.1496212445
85	0.1486500083
86	0.1478230218
87	0.14676167
88	0.1460974797
89	0.14518329
90	0.1445233675
91	0.1437726239
92	0.1432562253
93	0.1425732735
94	0.1416627397
95	0.1409687963
96	0.1398392071
97	0.1392219309
98	0.1384559174
99	0.1378858004
100	0.1370854914
101	0.1358713901
102	0.1350165977
103	0.1341998705
104	0.1335564696
105	0.1326731084
106	0.132084371
107	0.1313460137
108	0.1303775955
109	0.1298027884
110	0.1294290634
111	0.1278960676
112	0.1274605518
113	0.1272316108
114	0.1264898881
115	0.1256160943
116	0.1246767964
117	0.1242010141
118	0.1233257645
119	0.1224598627
120	0.121703393
121	0.1210892109
122	0.1204084805
123	0.120244507
124	0.1196687324
125	0.1189955157
126	0.1185886903
127	0.1185061828
128	0.1177484845
129	0.1167823062
130	0.1167036424
131	0.1160706579
132	0.1158140319
133	0.1151795519
134	0.1149975772
135	0.1145697163
136	0.1144957286
137	0.1143451664
138	0.1134192574
139	0.1133502737
140	0.112526081
141	0.1119307025
142	0.111450245
143	0.1109342851
144	0.1108290752
145	0.1102752476
146	0.1098713692
147	0.1097128438
148	0.1092382498
149	0.1087756356
150	0.1087136118
151	0.1081945201
152	0.1075759142
153	0.1069232677
154	0.1068250503
155	0.1063273878
156	0.1056605624
157	0.1049178264
158	0.1044087733
159	0.1040181629
160	0.103871804
161	0.1038160187
162	0.1032726713
163	0.1028188344
164	0.102506034
165	0.1022744033
166	0.102170785
167	0.1017696169
168	0.1012724998
169	0.1011881957
170	0.1008373896
171	0.1004892569
172	0.1000665874
173	0.09958636851
174	0.0991536645
175	0.0986760161
176	0.09862546672
177	0.0983742688
178	0.09826195439
179	0.09747071484
180	0.09698504332
181	0.09662445829
182	0.09651931584
183	0.09611529007
184	0.09561397056
185	0.09542286693
186	0.09511999255
187	0.09507343374
188	0.09473880718
189	0.09466069597
190	0.09458339903
191	0.09425370212
192	0.09415941231
193	0.09378340939
194	0.09366727304
195	0.09330113578
196	0.0928203543
197	0.0927779331
198	0.09235128902
199	0.09226465175
200	0.09198222269
201	0.09158623042
202	0.09152104922
203	0.0912318065
204	0.09095105091
205	0.09051580719
206	0.09047565367
207	0.08987408783
208	0.08951623907
209	0.08881177844
210	0.08859859892
211	0.08830692352
212	0.08823285227
213	0.08777383174
214	0.08773565548
215	0.08766886764
216	0.08745327387
217	0.08708846488
218	0.08705062915
219	0.08691186553
220	0.08675983912
221	0.08643184745
222	0.08623898786
223	0.08588831215
224	0.08565186077
225	0.08521052105
226	0.08514573599
227	0.08500449749
228	0.08495035573
229	0.08465909806
230	0.08438469556
231	0.08430668652
232	0.08427157938
233	0.08401211441
234	0.08397863819
235	0.08389622122
236	0.08359205686
237	0.08347194299
238	0.08340921119
239	0.08331481671
240	0.08310090352
241	0.082925827
242	0.0828936458
243	0.08257424041
244	0.08232264883
245	0.08225703581
246	0.08195676939
247	0.08182857378
248	0.08177895101
249	0.08174430271
250	0.08160943697
251	0.0812986179
252	0.08126814532
253	0.08118823169
254	0.08115861924
255	0.08083409397
256	0.08080492326
257	0.08049814863
258	0.08036293793
259	0.08015036255
260	0.08012203661
261	0.08007455063
262	0.08000764716
263	0.07975403608
264	0.07940405334
265	0.07935849478
266	0.07907613843
267	0.07896146333
268	0.07893333418
269	0.07865305649
270	0.07836923982
271	0.07795196873
272	0.07787848038
273	0.07744152887
274	0.07739682943
275	0.07736927057
276	0.07702539362
277	0.07699722413
278	0.07670176617
279	0.07646376674
280	0.0764190015
281	0.0761368835
282	0.07611026041
283	0.07585011473
284	0.07582398353
285	0.07568675465
286	0.07548581278
287	0.07543653978
288	0.07539465928
289	0.07519742761
290	0.07517235026
291	0.0748785085
292	0.07485322761
293	0.07476713256
294	0.07439815799
295	0.07434315784
296	0.07414883965
297	0.07400828521
298	0.07386983779
299	0.07384537718
